STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8174 CPU @ 3.10GHz,
CPU type:,Intel Skylake SP processor,
CPU clock:,2.693552997 GHz,
TABLE,Region jacobi500,Group 1 Raw,FLOPS_DP,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.022304,
call count,40,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,40848930
CPU_CLK_UNHALTED_CORE,FIXC1,48526670
CPU_CLK_UNHALTED_REF,FIXC2,56968380
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,320440
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,9920000
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
TABLE,Region jacobi500,Group 1 Metric,FLOPS_DP,10
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0223,
Runtime unhalted [s],0.0180,
Clock [MHz],2294.4159,
CPI,1.1880,
DP [MFLOP/s],1793.4007,
AVX DP [MFLOP/s],1779.0339,
AVX512 DP [MFLOP/s],0,
Packed [MUOPS/s],444.7585,
Scalar [MUOPS/s],14.3668,
Vectorization ratio,96.8708,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8174 CPU @ 3.10GHz,
CPU type:,Intel Skylake SP processor,
CPU clock:,2.693552997 GHz,
TABLE,Region jacobi1500,Group 1 Raw,FLOPS_DP,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.176298,
call count,40,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,346089600
CPU_CLK_UNHALTED_CORE,FIXC1,389681200
CPU_CLK_UNHALTED_REF,FIXC2,457459200
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,960440
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,89760000
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
TABLE,Region jacobi1500,Group 1 Metric,FLOPS_DP,10
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1763,
Runtime unhalted [s],0.1447,
Clock [MHz],2294.4712,
CPI,1.1260,
DP [MFLOP/s],2041.9973,
AVX DP [MFLOP/s],2036.5494,
AVX512 DP [MFLOP/s],0,
Packed [MUOPS/s],509.1374,
Scalar [MUOPS/s],5.4478,
Vectorization ratio,98.9413,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8174 CPU @ 3.10GHz,
CPU type:,Intel Skylake SP processor,
CPU clock:,2.693552997 GHz,
TABLE,Region jacobi2500,Group 1 Raw,FLOPS_DP,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.690800,
call count,40,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,782430500
CPU_CLK_UNHALTED_CORE,FIXC1,1555047000
CPU_CLK_UNHALTED_REF,FIXC2,1825487000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1600440
